name,console,genre,region,publisher,views,download,released,rate,site,link
Code Lyoko,Nintendo DS,adventure,EU,The Game Factory,"1,010",562,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/code-lyoko.html
Micro Machines v4,Nintendo DS,racing,EU,Codemasters,"1,008",561,None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/micro-machines-v4-2.html
Steal Princess,Nintendo DS,"adventure,role-playing",US,Atlus,"1,518",554,19th May 2009 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/steal-princess.html
Glory of Heracles,Nintendo DS,role-playing,US,Nintendo,"1,255",554,18th Jan 2010 (USA),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/glory-of-heracles.html
Robots,Nintendo DS,platformer,EU,Vivendi,"1,019",548,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/robots.html
Ridge Racer DS,Nintendo DS,racing,EU,Nintendo,"1,145",538,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/ridge-racer-ds.html
Mushroom Men: Rise of the Fungi,Nintendo DS,"action,arcade",EU,SouthPeak Games,"1,087",536,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/mushroom-men-rise-of-the-fungi.html
MySims Party,Nintendo DS,action,EU,Electronic Arts,"1,100",537,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/mysims-party-2.html
Mystery Dungeon: Shiren the Wanderer,Nintendo DS,role-playing,EU,SEGA,"1,289",536,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/mystery-dungeon-shiren-the-wanderer.html
Pokemon Link!,Nintendo DS,puzzle,EU,Nintendo,"1,535",534,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/pokemon-link.html
Retro Atari Classics,Nintendo DS,arcade,EU,Atari,"1,248",535,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/retro-atari-classics.html
Agatha Christie’s The ABC Murders,Nintendo DS,"adventure,puzzle",EU,JoWooD,"1,091",533,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/agatha-christies-the-abc-murders.html
Puzzle Quest – Challenge of the Warlords,Nintendo DS,"puzzle,role-playing",EU,D3Publisher,977,531,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/puzzle-quest-challenge-of-the-warlords.html
Nintendo presents: Style Boutique,Nintendo DS,other,EU,Nintendo,"1,194",521,None,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/nintendo-presents-style-boutique.html
Kaiju Busters,Nintendo DS,adventure,JP,Bandai Namco,"1,733",521,3rd Dec 2009 (JPN),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/kaiju-busters.html
Myst,Nintendo DS,other,EU,Midway Games,"1,103",519,7th Dec 2007 (UK/EU),5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/myst-2.html
Ninja Reflex,Nintendo DS,action,EU,Electronic Arts,856,517,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/ninja-reflex-2.html
Dig Dug Digging Strike,Nintendo DS,action,EU,Atari,988,511,None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-ds/dig-dug-digging-strike.html
