name,console,genre,region,publisher,views,download,released,rate,site,link
Art Academy: Lessons for Everyone!,Nintendo 3DS,other,EU,Nintendo,"3,144","2,049",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/art-academy-lessons-for-everyone.html
The Adventures of Tintin: The Secret of the Unicorn,Nintendo 3DS,"action,adventure",EU,Ubisoft,"3,107","2,045",None,3.7/5 (5 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/the-adventures-of-tintin-the-secret-of-the-unicorn.html
Ben 10 – Galactic Racing,Nintendo 3DS,racing,EU,D3 Publisher,"2,943","2,041","October 18, 2011",5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/ben-10-galactic-racing-2.html
BIT.TRIP SAGA,Nintendo 3DS,"action,adventure",EU,Aksys Games,"2,312","2,041",None,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/bit-trip-saga.html
SpongeBob Squigglepants,Nintendo 3DS,action,EU,THQ,"2,793","2,035"," May 17, 2011",5/5 (12 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/spongebob-squigglepants-2.html
Rodea the Sky Soldier,Nintendo 3DS,action,EU,NIS America,"2,746","2,032",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/rodea-the-sky-soldier-2.html
Yo-Kai Watch 3: Tempura,Nintendo 3DS,"N,o,n,e",None,None,954,"2,017",None,4.8/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/yo-kai-watch-3-tempura.html
Sushi Striker: The Way of Sushido,Nintendo 3DS,"action,puzzle",EU,Nintendo,"2,967","2,010",None,4.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/sushi-striker-the-way-of-sushido.html
Rabbids 3D,Nintendo 3DS,platformer,EU,Ubisoft,"2,611","2,005",None,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/rabbids-3d.html
Nintendogs + Cats: Toy Poodle &amp; New Friends,Nintendo 3DS,life-simulation,None,Nintendo,822,"1,989",None,3.4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/nintendogs-cats-toy-poodle-new-friends.html
Myst,Nintendo 3DS,"puzzle,strategy",EU,Maximum Games,"3,796","1,980",None,3.2/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/myst.html
Marvel Super Hero Squad: The Infinity Gauntlet,Nintendo 3DS,"action,adventure",EU,THQ,"3,299","1,976",None,2.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/marvel-super-hero-squad-the-infinity-gauntlet.html
Skylanders: Trap Team,Nintendo 3DS,"action,adventure",WW,Activision,"2,985","1,957","October 2, 2014",4.3/5 (6 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/skylanders-trap-team-3.html
Pokemon Nova Hoenn,Nintendo 3DS,role-playing,WW,Nintendo,"11,832","1,948",Unknown,3.8/5 (106 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/pokemon-nova-hoenn.html
Dragon Ball Heroes: Ultimate Mission X,Nintendo 3DS,"N,o,n,e",None,None,"1,045","1,942",None,4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/dragon-ball-heroes-ultimate-mission-x.html
Epic Mickey: Power of Illusion,Nintendo 3DS,platformer,WW,Disney Interactive Studios,"3,474","1,944","November 18, 2012",4.6/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/epic-mickey-power-of-illusion.html
Hotel Transylvania,Nintendo 3DS,"adventure,platformer",EU,Game Mill Entertainment,"3,488","1,924",None,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/hotel-transylvania.html
Tenkai Knights: Brave Battle,Nintendo 3DS,"action,adventure",EU,Bandai Namco,"2,817","1,918",None,2.5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/tenkai-knights-brave-battle.html
Hakuoki: Memories of the Shinsengumi,Nintendo 3DS,adventure,EU,Rising Star Games,"3,459","1,911",None,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/3ds/hakuoki-memories-of-the-shinsengumi.html
Barbie and her Sisters Puppy Rescue,Nintendo 3DS,"action,adventure",EU,Little Orbit,"2,610","1,889",None,4.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/barbie-and-her-sisters-puppy-rescue.html
Harvest Moon 3D: The Tale of Two Towns,Nintendo 3DS,simulator,EU,Natsume,"4,310","1,887",None,3/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/harvest-moon-3d-the-tale-of-two-towns.html
Disney Frozen: Olaf’s Quest,Nintendo 3DS,action,EU,Avanquest Software,"3,018","1,866",None,5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/3ds/disney-frozen-olafs-quest.html
