name,console,genre,region,publisher,views,download,released,rate,site,link
Monopoly,Nintendo 64,other,US,Hasbro Interactive,"1,027",575,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/monopoly-5.html
NASCAR 2000,Nintendo 64,"racing,simulator",US,Electronic Arts,"1,066",569,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/nascar-2000-2.html
Ms. Pac-Man – Maze Madness,Nintendo 64,other,US,Namco,"1,050",567,"November 12, 2000",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/ms-pac-man-maze-madness-2.html
Ms. Pac-Man – Maze Madness,Nintendo 64,other,US,Namco,"1,050",567,"November 12, 2000",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/ms-pac-man-maze-madness-2.html
Carmageddon 64,Nintendo 64,racing,EU,Titus Software. Sales Curve Interactive,923,552,2000,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/carmageddon-64.html
Hercules – The Legendary Journeys,Nintendo 64,"action,adventure",EU,Titus Software,"1,002",549,2000,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/hercules-the-legendary-journeys.html
Clay Fighter 63 1-3,Nintendo 64,"arcade,fighting",EU,Interplay Productions,"1,030",547,1997,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/clay-fighter-63-1-3.html
Knockout Kings 2000,Nintendo 64,"fighting,sport",EU,Electronic Arts,982,510,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/knockout-kings-2000.html
Elmo’s Letter Adventure,Nintendo 64,other,US,NewKidCo,543,510,1999,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/elmos-letter-adventure.html
Rush 2 – Extreme Racing USA,Nintendo 64,racing,EU,Midway,765,506,1998,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/rush-2-extreme-racing-usa.html
World Driver Championship,Nintendo 64,racing,EU,Midway,934,499,1999,5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/world-driver-championship.html
Rugrats In Paris – The Movie,Nintendo 64,"adventure,platformer",EU,THQ,770,495,2000,4/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/rugrats-in-paris-the-movie.html
Top Gear Rally,Nintendo 64,racing,EU,Midway,935,493,1997,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/top-gear-rally.html
NASCAR 99,Nintendo 64,"racing,simulator",EU,Electronic Arts,791,491,1998,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/nascar-99-2.html
Madden NFL 99,Nintendo 64,sport,EU,Electronic Arts,591,486,1998,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/nintendo-64/madden-nfl-99.html
