name,console,genre,region,publisher,views,download,released,rate,site,link
The Legend of Heroes: Trails of Cold Steel,PS Vita,role-playing,WW,XSEED Games,"3,930","1,822","December 22, 2015",3.7/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/the-legend-of-heroes-trails-of-cold-steel.html
Hatsune Miku: Project Diva F 2nd,PS Vita,other,WW,SEGA,"3,157","1,813","March 27, 2014",5/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/project-diva-f-2nd.html
Oddworld: Stranger’s Wrath,PS Vita,"action,adventure",EU,Oddworld Inhabitants,"2,650","1,800","December 18, 2012",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/oddworld-strangers-wrath-2.html
Shinobido 2: Revenge of Zen,PS Vita,action,EU,Spike,"2,103","1,721",None,2.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/shinobido-2-revenge-of-zen.html
Sword Art Online Lost Song,PS Vita,role-playing,EU,Bandai Namco Games,"3,489","1,693","November 17, 2015",3.3/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/sword-art-online-lost-song.html
Hotline Miami,PS Vita,action,EU,Devolver Digital,"3,998","1,668",25th Jun 2013,4.5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/hotline-miami-2.html
Kamen Rider: Battride War,PS Vita,"action,beat-em-up",JP,Bandai Namco Games,"3,376","1,583","February 25, 2016",4.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/kamen-rider-battride-war.html
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru.,PS Vita,adventure,JP,5pb,"2,549","1,553","September 19, 2013",4.2/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/yahari-game-demo-ore-no-seishun-love-kome-wa-machigatteiru.html
Duke Nukem 3D: Megaton Edition,PS Vita,role-playing,EU,Devolver Digital,"2,018","1,525",None,4.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/duke-nukem-3d-megaton-edition.html
Odin Sphere: Leifthrasir,PS Vita,role-playing,EU,Atlus,"2,379","1,454",14th Jan 2016,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/odin-sphere-leifthrasir.html
Child of Light,PS Vita,role-playing,EU,Ubisoft,"3,336","1,440",None,5/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/child-of-light.html
Sword Art Online: Hollow Fragment,PS Vita,action,JP,Bandai Namco,"2,396","1,430",24th Apr 2014 (JPN),4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/sword-art-online-hollow-fragment.html
Shovel Knight,PS Vita,"action,platformer",WW,Yacht Club Games,"1,957","1,427","June 26, 2014",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/shovel-knight-5.html
Madden NFL 13,PS Vita,sport,WW,EA Sports,"2,245","1,422","August 28, 2012",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/madden-nfl-13.html
Danganronpa Trigger Happy Havoc,PS Vita,adventure,WW,Spike,"3,259","1,406",None,4/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/danganronpa.html
Dungeon Travelers 2: The Royal Library &amp; the Monster Seal,PS Vita,role-playing,EU,Atlus,"2,954","1,378","August 18, 2015",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/dungeon-travelers-2-the-royal-library-the-monster-seal.html
Surge Deluxe,PS Vita,puzzle,EU,FuturLab,"2,998","1,374",4th Feb 2014,2.7/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/surge-deluxe.html
Toukiden 2,PS Vita,role-playing,EU,Koei Tecmo Games,"2,561","1,363","March 21, 2017",4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/ps-vita/toukiden-2-2.html
WRC 5,PS Vita,"racing,simulator",EU,Bigben Interactive,"4,973","1,360","October 13, 2015",4/5 (16 votes),ROMSFUN.com,https://romsfun.com/roms/ps-vita/wrc-5.html
