name,console,genre,region,publisher,views,download,released,rate,site,link
Pokemon Sun Moon GBA (Pokemon FireRed Hack),GBA,role-playing,WW,VocCoverTeam,"3,639","1,439",Unknown,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-sun-moon-gba-pokemon-firered-hack.html
Wario Land 4,GBA,action,EU,Nintendo,"2,205","1,435",2001,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/wario-land-4.html
TETRIS WORLDS,GBA,puzzle,EU,THQ,"1,361","1,430","September 5, 2001",5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/tetris-worlds.html
Pokemon Metal Red (Pokemon FireRed Hack),GBA,role-playing,WW,RomsPrid.xyz,"2,927","1,424",Unknown,3.5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-metal-red-pokemon-firered-hack.html
Rhythm Tengoku,GBA,other,JP,Nintendo,983,"1,419","August 3, 2006",4/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/rhythm-tengoku.html
Yu-Gi-Oh! Worldwide Edition,GBA,strategy,EU,Konami,"1,688","1,390",2003,3.2/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/yu-gi-oh-worldwide-edition.html
Pokemon Fire Burn,GBA,role-playing,WW,Nintendo,"3,078","1,370",Unknown,4.7/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-fire-burn.html
Crash Bandicoot 2: N-Tranced,GBA,platformer,EU,Universal Interactive,"1,558","1,362",None,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/crash-bandicoot-2-n-tranced.html
Tekken Advance,GBA,fighting,EU,Bandai Namco,"1,429","1,360",2002,5/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/tekken-advance.html
Pokemon Ultra Shiny Gold Sigma,GBA,role-playing,WW,Nintendo,"3,064","1,332",Unknown,4/5 (7 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-ultra-shiny-gold-sigma.html
Pokemon Dimension Legends,GBA,role-playing,WW,Nintendo,"3,097","1,327",Unknown,3/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-dimension-legends.html
Pokemon Crystal Kaizo (Pokemon Crystal Hack),GBA,role-playing,WW,SinisterHoodedFigure,"2,736","1,324",Unknown,3.6/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-crystal-kaizo-pokemon-crystal-hack.html
Pokemon Emerald Kaizo (Pokemon Emerald Hack),GBA,role-playing,WW,SinisterHoodedFigure,"2,742","1,299",Unknown,3.1/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-emerald-kaizo-pokemon-emerald-hack.html
Yu-Gi-Oh! – The Sacred Cards,GBA,card,EU,Konami,"1,581","1,274",None,5/5 (2 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/yu-gi-oh-the-sacred-cards.html
Pokemon Naranja Full,GBA,role-playing,WW,Nintendo,"3,524","1,275",Unknown,3.6/5 (8 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-naranja-full.html
Final Fantasy I &amp; II: Dawn of Souls,GBA,role-playing,EU,Square Enix,"1,608","1,268",2004,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/final-fantasy-i-ii-dawn-of-souls.html
Rayman Advance,GBA,"action,platformer",EU,Ubisoft,"1,382","1,251",Unknown,3/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/rayman-advance.html
Pokemon Altered (Pokemon FireRed Hack),GBA,role-playing,WW,kingfin128,"2,726","1,225",Unknown,4/5 (1 vote),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-altered-pokemon-firered-hack.html
Pokemon Paragon,GBA,role-playing,WW,Nintendo,"2,622","1,215",Unknown,4.7/5 (3 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/pokemon-paragon.html
Donkey Kong Country,GBA,platformer,EU,Nintendo,"2,161","1,210",21 November 1994,3.3/5 (4 votes),ROMSFUN.com,https://romsfun.com/roms/game-boy-advance/donkey-kong-country.html
